cityid,cloudiness,country,date_time,humidity,lat,lon,max_temp,name,temp,wind
2641434.0,1.0,GB,1607301952.0,96.0,51.03,-4.22,4.44,northam,1.85,1.34
337083.0,31.0,ET,1607301952.0,77.0,9.02,37.45,10.67,gedo,10.67,1.62
1786855.0,100.0,CN,1607301952.0,71.0,37.15,122.38,4.45,yatou,4.45,6.0
4754972.0,1.0,US,1607301952.0,91.0,38.5,-77.97,0.0,culpeper,0.0,3.0
5134295.0,90.0,US,1607301718.0,68.0,43.21,-75.46,-1.0,roma,-1.52,4.1
3361934.0,33.0,ZA,1607301841.0,87.0,-33.01,17.94,15.0,saldanha,15.0,3.1
889942.0,100.0,ZW,1607301731.0,92.0,-18.37,26.5,20.76,hwange,20.76,1.39
6067472.0,100.0,CA,1607301953.0,88.0,47.17,-55.15,8.01,marystown,8.01,2.63
1053507.0,81.0,MG,1607301953.0,100.0,-22.82,47.28,17.56,vondrozo,17.56,0.4
4033557.0,90.0,PF,1607301954.0,78.0,-17.73,-149.15,27.0,tautira,27.0,2.6
935214.0,20.0,RE,1607301954.0,73.0,-21.34,55.48,24.0,saint-pierre,21.19,2.6
3391889.0,20.0,BR,1607301954.0,83.0,-7.47,-34.81,26.0,pitimbu,26.0,3.6
5435464.0,1.0,US,1607301954.0,19.0,38.25,-104.61,8.33,pueblo,8.0,3.1
1622318.0,95.0,ID,1607301954.0,69.0,-9.66,120.26,29.09,waingapu,29.09,3.66
1006984.0,100.0,ZA,1607301954.0,91.0,-33.02,27.91,21.3,east london,21.3,7.88
556268.0,100.0,RU,1607301955.0,90.0,68.05,39.51,-1.86,ostrovnoy,-1.86,2.47
3430863.0,0.0,AR,1607301804.0,72.0,-38.0,-57.56,17.78,mar del plata,17.54,4.1
3939761.0,93.0,PE,1607301955.0,84.0,-11.1,-77.61,19.12,hualmay,19.12,3.07
5729080.0,90.0,US,1607301955.0,93.0,42.44,-123.33,7.22,grants pass,6.54,0.3
1131461.0,100.0,AF,1607301956.0,80.0,32.83,66.0,6.24,uruzgan,6.24,1.77
3374333.0,75.0,CV,1607301915.0,69.0,14.92,-23.51,24.0,praia,24.0,6.7
3392734.0,0.0,BR,1607301956.0,67.0,-9.41,-38.21,25.14,paulo afonso,25.14,5.6
5282297.0,0.0,US,1607301809.0,66.0,41.37,-73.41,0.0,bethel,-0.61,0.45
1572151.0,75.0,VN,1607301916.0,83.0,12.25,109.18,23.0,nha trang,23.0,3.6
3466196.0,85.0,BR,1607301956.0,94.0,-25.86,-52.52,16.05,chopinzinho,16.05,2.65
462914.0,0.0,RU,1607301957.0,95.0,53.75,34.74,-9.29,zhizdra,-9.29,3.03
1636022.0,20.0,ID,1607301957.0,94.0,-3.42,114.85,24.0,martapura,24.0,2.6
3708989.0,75.0,PA,1607301957.0,88.0,9.5,-82.62,25.0,guabito,25.0,1.44
3576994.0,0.0,TC,1607301729.0,74.0,21.46,-71.14,26.31,cockburn town,26.31,4.88
986717.0,100.0,ZA,1607301957.0,94.0,-34.0,24.73,19.44,kruisfontein,19.44,2.24
2015306.0,100.0,RU,1607301958.0,89.0,71.69,128.87,-25.18,tiksi,-25.18,1.66
1630789.0,100.0,ID,1607301958.0,77.0,-0.03,109.33,28.36,pontianak,28.36,3.19
3148133.0,100.0,NO,1607301958.0,91.0,62.2,5.58,3.33,larsnes,2.8,0.45
2122090.0,100.0,RU,1607301958.0,94.0,69.7,170.31,-14.94,pevek,-14.94,0.7
286621.0,40.0,OM,1607301958.0,73.0,17.02,54.09,23.0,salalah,23.0,1.5
2112802.0,20.0,JP,1607301959.0,87.0,35.73,140.83,10.0,hasaki,9.48,1.5
1489401.0,70.0,RU,1607301959.0,86.0,52.47,96.11,-22.38,toora-khem,-22.38,0.57
3359638.0,0.0,NA,1607301959.0,87.0,-22.96,14.51,16.11,walvis bay,16.11,1.18
2156643.0,75.0,AU,1607301805.0,76.0,-37.83,140.77,10.0,mount gambier,10.0,11.8
2083537.0,100.0,PG,1607301959.0,82.0,-3.55,143.63,26.41,wewak,26.41,2.04
2374583.0,0.0,GW,1607301960.0,66.0,11.28,-15.83,27.71,bubaque,27.71,4.94
933995.0,40.0,MU,1607301881.0,83.0,-20.52,57.52,25.0,souillac,25.0,5.1
2121385.0,100.0,RU,1607301960.0,90.0,50.68,156.12,-2.3,severo-kurilsk,-2.3,4.49
3372472.0,75.0,PT,1607301960.0,82.0,37.72,-25.43,14.0,vila franca do campo,14.0,2.1
1106643.0,40.0,MU,1607301961.0,83.0,-20.21,57.76,25.0,quatre cocos,25.0,5.1
108410.0,0.0,SA,1607301961.0,76.0,24.69,46.72,12.0,riyadh,12.0,2.1
2171085.0,70.0,AU,1607301961.0,54.0,-30.3,153.13,27.0,coffs harbour,27.0,3.6
1246294.0,52.0,LK,1607301961.0,86.0,6.04,80.22,24.53,galle,24.53,1.8
1895695.0,40.0,JP,1607301961.0,76.0,31.46,131.23,13.0,kushima,12.2,3.1
2137773.0,44.0,NC,1607301870.0,84.0,-22.67,167.48,25.17,vao,25.17,7.51
4360592.0,1.0,US,1607301962.0,52.0,38.27,-76.45,6.0,lexington park,2.68,3.3
1735106.0,20.0,MY,1607301962.0,88.0,5.41,100.34,26.0,georgetown,25.35,0.5
3105522.0,100.0,ES,1607301870.0,100.0,43.27,-7.54,10.0,bereda,9.71,2.24
3389822.0,62.0,BR,1607301787.0,79.0,-0.61,-47.36,27.01,salinopolis,27.01,4.96
3899695.0,0.0,CL,1607301869.0,72.0,-41.87,-73.82,16.0,ancud,16.0,1.5
5563839.0,85.0,US,1607301963.0,81.0,40.6,-124.16,11.11,fortuna,10.91,3.15
2127202.0,75.0,RU,1607301963.0,73.0,64.75,177.48,-5.0,anadyr,-5.0,2.0
5059430.0,1.0,US,1607301674.0,86.0,47.94,-97.43,-2.0,grand forks,-2.4,2.6
5110365.0,90.0,US,1607301963.0,79.0,42.25,-75.83,-1.67,broome,-3.12,3.6
6255012.0,0.0,AU,1607301963.0,38.0,-34.58,150.86,26.11,flinders,26.11,4.47
5859699.0,90.0,US,1607301957.0,71.0,64.86,-147.8,-14.0,college,-15.35,3.6
2252473.0,0.0,SN,1607301964.0,54.0,14.18,-16.67,26.0,diofior,24.86,3.1
1645133.0,75.0,ID,1607301964.0,76.0,1.68,101.45,27.28,dumai,27.28,0.58
3386213.0,75.0,BR,1607301964.0,83.0,-5.2,-35.46,26.0,touros,26.0,2.6
2037069.0,0.0,CN,1607301964.0,88.0,47.45,126.93,-13.59,hailun,-13.59,3.33
2629833.0,0.0,IS,1607301866.0,85.0,66.04,-17.34,-10.0,husavik,-10.0,1.0
5983720.0,90.0,CA,1607301965.0,72.0,63.75,-68.51,-10.0,iqaluit,-10.0,3.6
3451241.0,58.0,BR,1607301965.0,93.0,-21.8,-54.55,21.34,rio brilhante,21.34,2.82
3466165.0,100.0,BR,1607301813.0,88.0,-30.18,-50.21,18.81,cidreira,18.81,8.59
1490256.0,90.0,RU,1607301965.0,92.0,69.49,88.4,-11.0,talnakh,-11.0,10.0
3670812.0,99.0,CO,1607301965.0,70.0,4.28,-74.76,25.15,ricaurte,25.15,1.07
3838859.0,0.0,AR,1607301877.0,35.0,-51.62,-69.22,21.0,rio gallegos,21.0,7.7
2110227.0,10.0,KI,1607301966.0,80.0,3.07,172.79,27.32,butaritari,27.32,6.36
2618795.0,54.0,FO,1607301966.0,72.0,62.23,-6.59,4.0,klaksvik,4.0,5.1
935215.0,20.0,RE,1607301966.0,73.0,-21.36,55.77,24.0,saint-philippe,21.61,2.6
1861084.0,20.0,JP,1607301966.0,87.0,35.37,132.77,8.0,izumo,8.0,3.6
5380437.0,1.0,US,1607301790.0,82.0,36.62,-121.92,13.33,pacific grove,12.04,2.6
1631637.0,100.0,ID,1607301754.0,82.0,1.17,108.97,27.97,pemangkat,27.97,6.26
610298.0,0.0,KZ,1607301967.0,91.0,45.32,55.2,-12.2,beyneu,-12.2,3.81
2015217.0,100.0,RU,1607301967.0,92.0,53.13,132.9,-19.87,tokur,-19.87,1.83
3374210.0,77.0,CV,1607301967.0,75.0,14.9,-24.5,24.15,sao filipe,24.15,6.18
3421193.0,100.0,GL,1607301968.0,95.0,61.99,-49.67,-0.38,paamiut,-0.38,4.63
2017155.0,100.0,RU,1607301968.0,90.0,71.92,114.08,-22.73,saskylakh,-22.73,2.76
359792.0,0.0,EG,1607301968.0,31.0,24.09,32.91,16.05,aswan,16.05,2.11
2422924.0,0.0,GN,1607301968.0,89.0,10.94,-14.3,23.32,boke,23.32,1.56
3932145.0,0.0,PE,1607301968.0,82.0,-13.7,-76.22,19.0,pisco,18.46,8.2
1528998.0,99.0,CN,1607301968.0,91.0,40.28,97.2,-12.01,yumen,-12.01,2.06
1701054.0,96.0,PH,1607301969.0,85.0,8.0,124.29,26.67,marawi,26.67,0.45
3471451.0,75.0,BR,1607301969.0,94.0,-22.97,-42.03,25.0,arraial do cabo,25.0,5.7
5372190.0,1.0,US,1607301969.0,48.0,36.75,-120.38,16.0,mendota,15.15,3.6
3662342.0,20.0,BR,1607301969.0,95.0,-0.13,-67.09,23.39,sao gabriel da cachoeira,23.39,0.6
231550.0,0.0,UG,1607301970.0,93.0,0.92,31.77,16.46,kiboga,16.46,0.96
2126710.0,62.0,RU,1607301970.0,94.0,63.05,179.32,-7.39,beringovskiy,-7.39,2.07
895953.0,100.0,ZM,1607301970.0,96.0,-13.54,23.1,18.41,zambezi,18.41,2.1
1486321.0,77.0,RU,1607301970.0,95.0,66.83,70.83,-2.69,yar-sale,-2.69,9.84
3447720.0,90.0,BR,1607301679.0,94.0,-21.21,-47.6,23.0,serrana,23.0,1.5
3855065.0,0.0,AR,1607301970.0,27.0,-39.03,-67.58,30.0,general roca,30.0,3.1
3517970.0,75.0,MX,1607301971.0,69.0,15.74,-96.47,26.0,pochutla,26.0,1.27
3381538.0,87.0,GF,1607301971.0,85.0,4.25,-54.38,24.16,grand-santi,24.16,1.31
934322.0,40.0,MU,1607301971.0,83.0,-20.41,57.7,25.0,mahebourg,25.0,5.1
1495626.0,99.0,RU,1607301971.0,96.0,65.85,74.49,-3.96,pangody,-3.96,9.26
2020584.0,100.0,RU,1607301971.0,93.0,56.17,107.45,-13.01,magistralnyy,-13.01,3.28
2643044.0,100.0,GB,1607301904.0,82.0,51.38,1.39,5.56,margate,4.93,0.89
3421719.0,16.0,GL,1607301972.0,68.0,60.92,-46.05,-2.0,narsaq,-2.0,1.0
3374036.0,20.0,BB,1607301739.0,74.0,13.1,-59.62,26.0,bridgetown,26.0,6.2
3896281.0,0.0,CL,1607301972.0,60.0,-41.01,-73.12,20.0,casma,19.01,3.1
3373329.0,75.0,PT,1607301972.0,82.0,37.77,-25.7,14.0,arrifes,14.0,2.1
296852.0,0.0,TR,1607301973.0,100.0,36.96,36.2,6.0,erzin,4.11,1.5
1791779.0,65.0,CN,1607301973.0,80.0,18.8,110.4,20.63,wanning,20.63,6.26
6078372.0,90.0,CA,1607301973.0,92.0,51.26,-80.61,-10.0,moose factory,-10.98,2.6
3361142.0,16.0,ZA,1607301973.0,87.0,-29.66,17.89,7.5,springbok,7.5,0.78
2427697.0,79.0,TD,1607301973.0,29.0,8.34,17.77,22.8,moissala,22.8,0.86
240210.0,98.0,CF,1607301973.0,25.0,10.28,22.79,19.77,birao,19.77,2.09
1629380.0,100.0,ID,1607301974.0,80.0,-8.61,120.47,22.84,ruteng,22.84,1.34
2347954.0,97.0,NG,1607301974.0,29.0,11.52,13.69,20.02,bama,20.02,0.88
2281120.0,5.0,CI,1607301974.0,82.0,4.42,-7.35,25.54,tabou,25.54,1.95
779330.0,100.0,NO,1607301974.0,97.0,69.01,23.04,-6.31,kautokeino,-6.31,2.71
2108502.0,40.0,SB,1607301974.0,70.0,-9.43,159.95,31.0,honiara,31.0,3.1
2120048.0,93.0,RU,1607301975.0,74.0,64.57,143.2,-33.91,ust-nera,-33.91,1.04
471607.0,0.0,RU,1607301975.0,92.0,56.84,45.43,-8.12,voskresenskoye,-8.12,2.74
6453316.0,75.0,NO,1607301975.0,86.0,69.65,18.96,-2.0,tromso,-2.72,6.2
1695546.0,100.0,PH,1607301975.0,85.0,14.05,124.17,27.21,pandan,27.21,5.24
3395062.0,100.0,BR,1607301975.0,76.0,-3.38,-57.72,26.04,maues,26.04,0.67
2262957.0,40.0,PT,1607301975.0,87.0,38.44,-9.1,14.44,sesimbra,13.61,4.1
2070998.0,0.0,AU,1607301976.0,21.0,-28.77,114.6,28.0,geraldton,28.0,6.2
3372760.0,75.0,PT,1607301976.0,87.0,38.73,-27.07,14.0,praia da vitoria,12.98,3.72
5506956.0,1.0,US,1607301734.0,10.0,36.17,-115.14,15.0,las vegas,13.56,1.5
95788.0,0.0,IQ,1607301976.0,50.0,33.64,42.83,12.04,hit,12.04,3.48
3468560.0,66.0,BR,1607301977.0,95.0,-30.51,-53.49,13.58,cacapava do sul,13.58,4.0
1259385.0,0.0,IN,1607301977.0,73.0,11.67,92.75,26.78,port blair,26.78,4.94
2264508.0,100.0,PT,1607301977.0,95.0,39.29,-7.43,11.11,portalegre,9.87,2.24
